OBJECTID,UNIT_COUNT,CNTY_FIPS,COUNTY,MSSA_ID,MSSA_NAME,DEFINITION,POPDENSITY,AREA_SQMI,POP,PCSA,PCSA_SCORE,PC_PHYS,PC_PHYS_R_CIV,POVScore,PHYSRatioScore,Shape__Area,Shape__Length
399,19,031,Kings,69,Armona/Hanford/Lemoore,Urban,262.43763784,25.62183514,59224,1,5,67,1566.02985075,3,2,0.10594895224267,1.64372732804579
400,22,007,Butte,7.1,Chapmantown/Chico,Urban,2664.83902219,1.02672824,80527,0,4,118,802.6779661,4,0,0.00978662304805766,0.671363922722258
401,1,007,Butte,7.2,Capay/Lake/Nord,Rural,45.63460829,125.36537979,5295,0,3,3,1867.33333333,1,2,0.0341370980690954,1.24359361730082
402,1,007,Butte,7.3,Butte Meadows/Cohasset/Forest Ranch,Rural,24.29526744,215.72102519,4256,1,6,1,4636,1,5,0.0588500085646047,1.91752715575808
403,1,007,Butte,7.4,Durham,Rural,39.73331345,136.7869812,4901,1,8,0,0,3,5,0.0371524501711065,1.06212583199704
404,3,033,Lake,70.1,Kelseyville/Lakeport,Rural,132.18328772,73.56325083,11395,0,3,25,590.24,3,0,0.0320113552625116,1.18472836616151
405,3,033,Lake,70.2,Lucerne/Nice/Upper Lake,Rural,12.99357331,465.02860307,7355,1,9,3,2860.33333333,5,4,0.170954689272548,2.76328398339296
406,5,033,Lake,71.1,Clearlake/Clearlake Oaks,Rural,100.23508832,125.62032614,15193,1,6,14,1343.35714286,5,1,0.0508956631665569,1.75169233703848
407,2,033,Lake,71.2,Lower Lake,Rural,52.85615315,50.91569642,8961,1,8,1,9932,3,5,0.0525912774323842,1.66804623063011
408,2,033,Lake,71.3,Cobb/Hidden Valley/Middletown,Rural,57.07551286,122.67056851,9704,1,7,3,3729.33333333,2,5,0.0520847070292803,1.50975262390999
409,6,035,Lassen,72,Susanville,Rural,60.83169866,59.84219743,20864,0,3,26,614.11538462,3,0,0.115671989085968,2.20876398418341
410,1,035,Lassen,73,Bieber/Madeline/Nubieber,Frontier,0.89445509,2935.86567743,1478,1,7,0,0,2,5,0.812165660609935,4.66767077886608
411,1,035,Lassen,74,Doyle,Frontier,5.83247565,599.91677833,2667,1,6,0,0,1,5,0.164183011191199,2.65717075950581
412,1,035,Lassen,75,Westwood,Frontier,2.99109972,762.93009684,2307,1,9,0,0,4,5,0.209960381687324,2.62525966920105
413,27,037,Los Angeles,76.1a,Canyon Country/Santa Clarita West/Saugus,Urban,1365.17411222,26.34125486,100805,0,2,118,1056.23728814,1,1,0.0242925710995223,1.03158071593481
414,28,037,Los Angeles,76.1b,Newhall/Santa Clarita East/Valencia,Urban,1805.12271445,1.14303857,73122,1,7,38,3159.07894737,2,5,0.016430478012353,0.671249265046667
415,7,037,Los Angeles,76.2,Castaic/Val Verde,Rural,63.62070808,18.06323689,17208,1,6,1,25312,1,5,0.0994265848585201,2.08308386336813
416,21,037,Los Angeles,77.1a,Palmdale Central,Urban,1733.58477515,0.48490606,36624,1,9,14,7346.85714286,4,5,0.0145904936141505,0.691240998758548
417,20,037,Los Angeles,77.1b,Desert View Highlands/Lancaster West/Palmdale Northwest/Quartz Hill,Urban,2442.48320255,5.05589467,72524,0,2,103,951.19417476,2,0,0.0109946091160964,0.444635353008128
