,FIPS,County,State,Lat,Long,Ticks_With_Lyme,Cases2019
176,5131.0,Sebastian County,Arkansas,35.1993,-94.2742,0,0
177,5133.0,Sevier County,Arkansas,33.9972,-94.2412,0,0
178,5135.0,Sharp County,Arkansas,36.1612,-91.4799,0,0
179,5137.0,Stone County,Arkansas,35.8599,-92.1567,0,1
180,5139.0,Union County,Arkansas,33.1713,-92.5972,0,0
181,5141.0,Van Buren County,Arkansas,35.5806,-92.5157,0,0
182,5143.0,Washington County,Arkansas,35.9791,-94.2156,0,4
183,5145.0,White County,Arkansas,35.2563,-91.7455,0,0
184,5147.0,Woodruff County,Arkansas,35.1863,-91.2431,0,1
185,5149.0,Yell County,Arkansas,35.0026,-93.4112,1,0
186,6001.0,Alameda County,California,37.6469,-121.8889,0,17
187,6003.0,Alpine County,California,38.5972,-119.8207,0,0
188,6005.0,Amador County,California,38.4464,-120.6511,1,0
189,6007.0,Butte County,California,39.6669,-121.6007,1,1
190,6009.0,Calaveras County,California,38.2046,-120.5541,0,1
191,6011.0,Colusa County,California,39.1775,-122.237,1,0
192,6013.0,Contra Costa County,California,37.9191,-121.9278,0,4
193,6015.0,Del Norte County,California,41.7431,-123.8972,1,0
194,6017.0,El Dorado County,California,38.7787,-120.5247,0,0
195,6019.0,Fresno County,California,36.7582,-119.6493,0,1
196,6021.0,Glenn County,California,39.5982,-122.392,0,0
197,6023.0,Humboldt County,California,40.6993,-123.8756,0,3
198,6025.0,Imperial County,California,33.0395,-115.3654,0,0
199,6027.0,Inyo County,California,36.5111,-117.4107,0,0
200,6029.0,Kern County,California,35.3429,-118.7299,0,0
201,6031.0,Kings County,California,36.0753,-119.8155,1,2
202,6033.0,Lake County,California,39.0996,-122.7532,0,2
203,6035.0,Lassen County,California,40.6736,-120.5943,1,0
204,6037.0,Los Angeles County,California,34.3207,-118.2248,0,3
205,6039.0,Madera County,California,37.218,-119.7627,1,0
206,6041.0,Marin County,California,38.0734,-122.7234,1,8
207,6043.0,Mariposa County,California,37.5815,-119.9054,1,0
208,6045.0,Mendocino County,California,39.4402,-123.3915,0,11
209,6047.0,Merced County,California,37.1919,-120.7177,0,0
210,6049.0,Modoc County,California,41.5898,-120.725,0,0
211,6051.0,Mono County,California,37.9391,-118.8868,0,0
212,6053.0,Monterey County,California,36.2172,-121.2392,0,3
213,6055.0,Napa County,California,38.5065,-122.3305,1,0
214,6057.0,Nevada County,California,39.3014,-120.7685,0,3
215,6059.0,Orange County,California,33.703,-117.7611,0,0
216,6061.0,Placer County,California,39.0635,-120.7175,0,0
217,6063.0,Plumas County,California,40.0046,-120.8385,0,0
218,6065.0,Riverside County,California,33.7437,-115.9938,1,3
219,6067.0,Sacramento County,California,38.4493,-121.3443,0,2
220,6069.0,San Benito County,California,36.6057,-121.075,0,0
221,6071.0,San Bernardino County,California,34.8414,-116.1784,0,5
222,6073.0,San Diego County,California,33.0341,-116.7353,0,1
223,6075.0,San Francisco County,California,37.7562,-122.443,0,14
224,6077.0,San Joaquin County,California,37.9348,-121.2714,1,2
225,6079.0,San Luis Obispo County,California,35.3871,-120.4045,1,1
226,6081.0,San Mateo County,California,37.4229,-122.329,0,3
227,6083.0,Santa Barbara County,California,34.6729,-120.0165,1,3
228,6085.0,Santa Clara County,California,37.2318,-121.6951,1,6
229,6087.0,Santa Cruz County,California,37.0562,-122.0018,0,14
230,6089.0,Shasta County,California,40.7637,-122.0405,0,0
231,6091.0,Sierra County,California,39.5803,-120.516,0,0
232,6093.0,Siskiyou County,California,41.5927,-122.5404,0,1
233,6095.0,Solano County,California,38.27,-121.9329,1,1
234,6097.0,Sonoma County,California,38.5283,-122.8874,0,10
235,6099.0,Stanislaus County,California,37.5591,-120.9977,0,1
236,6101.0,Sutter County,California,39.0346,-121.6948,0,0
237,6103.0,Tehama County,California,40.1256,-122.2341,0,0
238,6105.0,Trinity County,California,40.6507,-123.1126,0,0
239,6107.0,Tulare County,California,36.2201,-118.8005,0,8
240,6109.0,Tuolumne County,California,38.0276,-119.9548,0,2
241,6111.0,Ventura County,California,34.4565,-119.0836,0,4
242,6113.0,Yolo County,California,38.6866,-121.9016,0,3
243,6115.0,Yuba County,California,39.269,-121.3513,0,1
244,8001.0,Adams County,Colorado,39.8736,-104.3378,0,1
245,8003.0,Alamosa County,Colorado,37.5729,-105.7883,0,0
246,8005.0,Arapahoe County,Colorado,39.6498,-104.3392,0,1
247,8007.0,Archuleta County,Colorado,37.1935,-107.0483,0,0
248,8009.0,Baca County,Colorado,37.3192,-102.5604,0,0
249,8011.0,Bent County,Colorado,37.9551,-103.0717,0,0
250,8013.0,Boulder County,Colorado,40.0925,-105.3577,0,1
251,8014.0,Broomfield County,Colorado,39.9541,-105.0527,0,0
252,8015.0,Chaffee County,Colorado,38.747,-106.1941,0,0
253,8017.0,Cheyenne County,Colorado,38.828,-102.6035,0,0
254,8019.0,Clear Creek County,Colorado,39.6891,-105.6444,0,0
255,8021.0,Conejos County,Colorado,37.2007,-106.1916,0,0
256,8023.0,Costilla County,Colorado,37.2781,-105.4282,0,0
257,8025.0,Crowley County,Colorado,38.3266,-103.7845,0,0
258,8027.0,Custer County,Colorado,38.1087,-105.3675,0,0
259,8029.0,Delta County,Colorado,38.8614,-107.8629,0,0
260,8031.0,Denver County,Colorado,39.7621,-104.8759,0,2
261,8033.0,Dolores County,Colorado,37.7517,-108.5174,0,0
262,8035.0,Douglas County,Colorado,39.3297,-104.9296,0,0
263,8037.0,Eagle County,Colorado,39.6278,-106.6954,0,1
264,8039.0,Elbert County,Colorado,39.2866,-104.136,0,0
265,8041.0,El Paso County,Colorado,38.8321,-104.5255,0,1
266,8043.0,Fremont County,Colorado,38.473,-105.4397,0,0
267,8045.0,Garfield County,Colorado,39.5993,-107.904,0,0
268,8047.0,Gilpin County,Colorado,39.8575,-105.5226,0,0
269,8049.0,Grand County,Colorado,40.1026,-106.1183,0,0
270,8051.0,Gunnison County,Colorado,38.6668,-107.0316,0,0
271,8053.0,Hinsdale County,Colorado,37.8213,-107.3003,0,0
272,8055.0,Huerfano County,Colorado,37.6847,-104.9606,0,0
273,8057.0,Jackson County,Colorado,40.6664,-106.3428,0,0
274,8059.0,Jefferson County,Colorado,39.5864,-105.2505,0,1
275,8061.0,Kiowa County,Colorado,38.4327,-102.7403,0,0
276,8063.0,Kit Carson County,Colorado,39.3055,-102.603,0,0
277,8065.0,Lake County,Colorado,39.2025,-106.3448,0,0
278,8067.0,La Plata County,Colorado,37.2866,-107.8433,0,0
279,8069.0,Larimer County,Colorado,40.6664,-105.4611,0,0
280,8071.0,Las Animas County,Colorado,37.3158,-104.0386,0,0
281,8073.0,Lincoln County,Colorado,38.9881,-103.514,0,0
282,8075.0,Logan County,Colorado,40.7247,-103.1101,0,0
283,8077.0,Mesa County,Colorado,39.0183,-108.4664,0,0
284,8079.0,Mineral County,Colorado,37.6689,-106.9241,0,0
285,8081.0,Moffat County,Colorado,40.6184,-108.2074,0,0
286,8083.0,Montezuma County,Colorado,37.3386,-108.5966,0,0
287,8085.0,Montrose County,Colorado,38.4022,-108.2693,0,0
288,8087.0,Morgan County,Colorado,40.2626,-103.8097,0,0
289,8089.0,Otero County,Colorado,37.9026,-103.7165,0,0
290,8091.0,Ouray County,Colorado,38.1555,-107.7693,0,0
291,8093.0,Park County,Colorado,39.1193,-105.7171,0,0
292,8095.0,Phillips County,Colorado,40.594,-102.3576,0,0
293,8097.0,Pitkin County,Colorado,39.2171,-106.9166,0,0
294,8099.0,Prowers County,Colorado,37.9552,-102.3934,0,0
295,8101.0,Pueblo County,Colorado,38.1735,-104.5128,0,0
296,8103.0,Rio Blanco County,Colorado,39.9798,-108.2171,0,0
297,8105.0,Rio Grande County,Colorado,37.5825,-106.3832,0,0
298,8107.0,Routt County,Colorado,40.4851,-106.9913,0,0
299,8109.0,Saguache County,Colorado,38.0805,-106.2815,0,0
300,8111.0,San Juan County,Colorado,37.764,-107.6762,0,0
301,8113.0,San Miguel County,Colorado,38.0038,-108.4057,0,0
302,8115.0,Sedgwick County,Colorado,40.8759,-102.3518,0,0
303,8117.0,Summit County,Colorado,39.6342,-106.1164,0,0
304,8119.0,Teller County,Colorado,38.8822,-105.1618,0,0
305,8121.0,Washington County,Colorado,39.971,-103.2012,0,0
306,8123.0,Weld County,Colorado,40.5548,-104.3925,0,0
307,8125.0,Yuma County,Colorado,40.0029,-102.4242,1,0
308,9001.0,Fairfield County,Connecticut,41.2708,-73.3894,1,194
309,9003.0,Hartford County,Connecticut,41.8064,-72.7329,1,132
310,9005.0,Litchfield County,Connecticut,41.7925,-73.2453,1,116
311,9007.0,Middlesex County,Connecticut,41.4632,-72.5351,1,119
312,9009.0,New Haven County,Connecticut,41.4105,-72.9321,1,211
313,9011.0,New London County,Connecticut,41.4866,-72.1015,1,254
314,9013.0,Tolland County,Connecticut,41.855,-72.3365,1,107
315,9015.0,Windham County,Connecticut,41.83,-71.9874,0,93
316,10001.0,Kent County,Delaware,39.0862,-75.5684,0,79
317,10003.0,New Castle County,Delaware,39.5768,-75.6527,0,407
318,10005.0,Sussex County,Delaware,38.6606,-75.39,1,130
319,11001.0,District of Columbia,District of Columbia,38.9047,-77.0163,0,100
320,12001.0,Alachua County,Florida,29.6747,-82.3577,0,0
321,12003.0,Baker County,Florida,30.3311,-82.2846,0,0
322,12005.0,Bay County,Florida,30.2652,-85.6203,0,0
323,12007.0,Bradford County,Florida,29.9499,-82.1688,0,0
324,12009.0,Brevard County,Florida,28.2937,-80.7323,0,3
325,12011.0,Broward County,Florida,26.1523,-80.4871,0,7
326,12013.0,Calhoun County,Florida,30.406,-85.1972,0,0
327,12015.0,Charlotte County,Florida,26.9055,-81.9123,0,1
328,12017.0,Citrus County,Florida,28.8489,-82.4794,0,2
329,12019.0,Clay County,Florida,29.9831,-81.8579,0,0
330,12021.0,Collier County,Florida,26.1107,-81.3476,0,1
331,12023.0,Columbia County,Florida,30.2242,-82.6215,0,0
332,12027.0,DeSoto County,Florida,27.1864,-81.8095,0,0
333,12029.0,Dixie County,Florida,29.6082,-83.1588,0,0
334,12031.0,Duval County,Florida,30.3316,-81.6708,0,3
335,12033.0,Escambia County,Florida,30.6689,-87.3628,0,5
336,12035.0,Flagler County,Florida,29.4614,-81.3136,0,1
337,12037.0,Franklin County,Florida,29.8765,-84.814,0,0
338,12039.0,Gadsden County,Florida,30.5795,-84.6136,0,0
339,12041.0,Gilchrist County,Florida,29.7258,-82.8004,0,0
340,12043.0,Glades County,Florida,26.9564,-81.1891,0,0
341,12045.0,Gulf County,Florida,29.9555,-85.2266,0,0
342,12047.0,Hamilton County,Florida,30.4964,-82.9479,0,0
343,12049.0,Hardee County,Florida,27.4927,-81.81,0,0
344,12051.0,Hendry County,Florida,26.5535,-81.1659,0,0
345,12053.0,Hernando County,Florida,28.5536,-82.425,0,3
346,12055.0,Highlands County,Florida,27.3433,-81.341,0,3
347,12057.0,Hillsborough County,Florida,27.9291,-82.3092,0,5
348,12059.0,Holmes County,Florida,30.8679,-85.814,0,0
349,12061.0,Indian River County,Florida,27.6943,-80.6062,0,16
350,12063.0,Jackson County,Florida,30.7954,-85.2155,0,0
351,12065.0,Jefferson County,Florida,30.4375,-83.8953,0,0
352,12067.0,Lafayette County,Florida,29.9855,-83.1811,0,0
353,12069.0,Lake County,Florida,28.7615,-81.7113,0,3
354,12071.0,Lee County,Florida,26.5778,-81.8337,0,16
355,12073.0,Leon County,Florida,30.458,-84.2779,0,1
356,12075.0,Levy County,Florida,29.3184,-82.7436,0,0
357,12077.0,Liberty County,Florida,30.2414,-84.8829,0,0
358,12079.0,Madison County,Florida,30.4441,-83.4701,0,0
359,12081.0,Manatee County,Florida,27.4719,-82.3153,0,2
360,12083.0,Marion County,Florida,29.2102,-82.0567,0,5
361,12085.0,Martin County,Florida,27.0775,-80.4315,0,4
362,12086.0,Miami-Dade County,Florida,25.615,-80.5623,0,6
363,12087.0,Monroe County,Florida,25.3156,-81.1106,0,0
364,12089.0,Nassau County,Florida,30.6106,-81.8016,0,1
365,12091.0,Okaloosa County,Florida,30.6913,-86.5917,0,3
366,12093.0,Okeechobee County,Florida,27.3864,-80.8886,0,0
367,12095.0,Orange County,Florida,28.5144,-81.3235,0,3
368,12097.0,Osceola County,Florida,28.0627,-81.1495,0,4
369,12099.0,Palm Beach County,Florida,26.6476,-80.4655,0,18
370,12101.0,Pasco County,Florida,28.3091,-82.3932,0,4
371,12103.0,Pinellas County,Florida,27.9196,-82.7256,0,19
372,12105.0,Polk County,Florida,27.9489,-81.6976,0,1
373,12107.0,Putnam County,Florida,29.6087,-81.7443,0,0
374,12109.0,St. Johns County,Florida,29.9016,-81.4407,0,4
375,12111.0,St. Lucie County,Florida,27.3773,-80.472,0,2
376,12113.0,Santa Rosa County,Florida,30.7004,-87.022,0,0
377,12115.0,Sarasota County,Florida,27.1845,-82.3315,0,6
378,12117.0,Seminole County,Florida,28.717,-81.2363,0,4
379,12119.0,Sumter County,Florida,28.7048,-82.081,0,3
380,12121.0,Suwannee County,Florida,30.1956,-82.9915,0,0
381,12123.0,Taylor County,Florida,30.047,-83.6035,0,0
382,12125.0,Union County,Florida,30.0439,-82.3714,0,0
383,12127.0,Volusia County,Florida,29.0584,-81.1819,0,2
384,12129.0,Wakulla County,Florida,30.1673,-84.4007,0,1
385,12131.0,Walton County,Florida,30.6436,-86.1697,0,0
386,12133.0,Washington County,Florida,30.6106,-85.6653,0,0
387,13001.0,Appling County,Georgia,31.7492,-82.2889,0,0
388,13003.0,Atkinson County,Georgia,31.2971,-82.8801,0,0
389,13005.0,Bacon County,Georgia,31.5537,-82.4527,0,0
390,13007.0,Baker County,Georgia,31.3262,-84.4447,0,0
391,13009.0,Baldwin County,Georgia,33.0692,-83.2496,0,0
392,13011.0,Banks County,Georgia,34.3541,-83.4974,0,0
393,13013.0,Barrow County,Georgia,33.9932,-83.7127,0,0
394,13015.0,Bartow County,Georgia,34.2377,-84.8403,0,0
