,FIPS,State,County,Mean_Rank,Worst_Best,Rank,Lat,Long,Ticks_With_Lyme,Cases2019,Population,%<18_Yrs_Old,%65_Yrs_Old_and_over,Income($),African American(Count),African American(%),American_Indian/Alaskan_Native(Count),American_Indian/Alaskan_Native(%),Asian(Count),Asian(%),Native_Hawaiian/Other_Pacific_Islander(Count),Native_Hawaiian/Other_Pacific_Islander(%),Hispanic(Count),Hispanic(%),Non-Hispanic_White(Count),Non-Hispanic_White(%),Female(%),Rural(Count),Rural(%),Life_Expectancy,Deaths(Count)
49,8097,Colorado,Pitkin,6.75,Best,2,39.2171,-106.9166,0,0,17890,15.23,18.47,$78596.00,171,0.96,85,0.48,331,1.85,21,0.12,1814,10.14,15328,85.68,47.95,7580.0,44.2,92.92,95.0
50,8107,Colorado,Routt,10.125,Best,3,40.4851,-106.9913,0,0,25220,18.24,14.48,$76505.00,200,0.79,150,0.59,207,0.82,23,0.09,1768,7.01,22637,89.76,47.81,10621.0,45.18,83.22,186.0
51,8014,Colorado,Broomfield,10.375,Best,4,39.9541,-105.0527,0,0,68341,23.63,13.25,$91968.00,891,1.3,556,0.81,4510,6.6,93,0.14,8476,12.4,52580,76.94,50.26,326.0,0.58,83.09,439.0
52,8013,Colorado,Boulder,11.875,Best,5,40.0925,-105.3577,0,1,322514,19.42,13.71,$80701.00,3023,0.94,2720,0.84,15241,4.73,235,0.07,44954,13.94,251078,77.85,49.66,26255.0,8.91,82.85,2221.0
53,8071,Colorado,Las Animas,49.625,Worst,6,37.3158,-104.0386,0,0,14238,18.87,23.7,$39552.00,229,1.61,512,3.6,159,1.12,19,0.13,5950,41.79,7559,53.09,47.8,6326.0,40.79,75.44,269.0
54,8011,Colorado,Bent,49.75,Worst,7,37.9551,-103.0717,0,0,5938,14.92,17.3,$37307.00,455,7.66,192,3.23,94,1.58,7,0.12,1935,32.59,3323,55.96,34.49,2467.0,37.96,77.8,99.0
55,8101,Colorado,Pueblo,51.875,Worst,8,38.1735,-104.5128,0,0,166475,22.72,18.04,$44060.00,3027,1.82,5209,3.13,1782,1.07,286,0.17,71585,43.0,86840,52.16,50.72,22513.0,14.15,76.95,2503.0
56,8089,Colorado,Otero,52.5,Worst,9,37.9026,-103.7165,0,0,18326,23.95,19.98,$37907.00,179,0.98,684,3.73,165,0.9,38,0.21,7673,41.87,9909,54.07,50.84,6479.0,34.41,76.42,302.0
57,8023,Colorado,Costilla,54.375,Worst,10,37.2781,-105.4282,0,0,3776,18.8,27.15,$30486.00,31,0.82,205,5.43,51,1.35,11,0.29,2349,62.21,1252,33.16,47.7,3524.0,100.0,77.75,66.0
58,9007,Connecticut,Middlesex,2.125,Best,1,41.4632,-72.5351,1,119,163410,18.08,19.67,$81533.00,7828,4.79,443,0.27,5070,3.1,108,0.07,10343,6.33,137121,83.91,51.25,40657.0,24.54,81.07,1731.0
59,9013,Connecticut,Tolland,2.125,Best,2,41.855,-72.3365,1,107,151461,17.44,15.37,$75571.00,4937,3.26,397,0.26,7344,4.85,111,0.07,8415,5.56,128146,84.61,49.78,58340.0,38.21,81.8,1299.0
60,9001,Connecticut,Fairfield,3.625,Best,3,41.2708,-73.3894,1,194,949921,22.62,15.5,$91170.00,103805,10.93,4730,0.5,54914,5.78,1009,0.11,189042,19.9,587915,61.89,51.27,42028.0,4.58,82.58,7044.0
61,9005,Connecticut,Litchfield,3.625,Best,4,41.7925,-73.2453,1,116,182177,18.49,20.58,$77968.00,2814,1.54,581,0.32,3656,2.01,128,0.07,11498,6.31,161463,88.63,50.55,78722.0,41.45,80.69,2007.0
62,9003,Connecticut,Hartford,5.125,Worst,7,41.8064,-72.7329,1,132,895388,21.05,16.8,$70433.00,117989,13.18,4883,0.55,51382,5.74,1099,0.12,161377,18.02,548708,61.28,51.4,48354.0,5.41,80.32,9089.0
63,9011,Connecticut,New London,5.5,Worst,8,41.4866,-72.1015,1,254,269033,19.57,17.59,$71721.00,15394,5.72,3112,1.16,12262,4.56,410,0.15,28444,10.57,203219,75.54,49.88,70729.0,25.81,79.92,2983.0
64,9009,Connecticut,New Haven,6.875,Worst,9,41.4105,-72.9321,1,211,860435,20.35,16.93,$66764.00,109059,12.67,4573,0.53,37258,4.33,885,0.1,156118,18.14,541814,62.97,51.73,31394.0,3.64,79.98,9162.0
65,9015,Connecticut,Windham,7.0,Worst,10,41.83,-71.9874,0,93,116359,19.81,16.25,$62606.00,2149,1.85,761,0.65,1747,1.5,95,0.08,13596,11.68,96406,82.85,50.31,58931.0,49.76,78.82,1376.0
66,10003,Delaware,New Castle,1.25,Best,1,39.5768,-75.6527,0,407,559793,21.69,15.1,$66839.00,137747,24.61,2390,0.43,32523,5.81,364,0.07,55723,9.95,321097,57.36,51.55,24783.0,4.6,78.69,6580.0
67,10001,Delaware,Kent,2.75,Worst,10,39.0862,-75.5684,0,79,176824,22.97,16.63,$57112.00,44160,24.97,1283,0.73,4211,2.38,219,0.12,12703,7.18,109126,61.71,51.82,43774.0,26.97,77.81,2403.0
68,12021,Florida,Collier,6.625,Best,1,26.1107,-81.3476,0,1,372880,17.36,31.48,$66709.00,25081,6.73,1799,0.48,5628,1.51,366,0.1,103525,27.76,234825,62.98,50.79,27284.0,8.49,85.88,3259.0
69,12109,Florida,St. Johns,8.375,Best,2,29.9016,-81.4407,0,4,243812,21.9,19.79,$77022.00,12646,5.19,757,0.31,7438,3.05,214,0.09,16870,6.92,202004,82.85,51.16,45179.0,23.77,81.39,2498.0
70,12085,Florida,Martin,10.875,Best,3,27.0775,-80.4315,0,4,159923,16.49,30.44,$58344.00,8244,5.15,1527,0.95,2268,1.42,286,0.18,22006,13.76,125308,78.36,50.56,12403.0,8.48,82.08,1869.0
71,12115,Florida,Sarasota,11.875,Best,4,27.1845,-82.3315,0,6,419119,14.39,36.1,$58423.00,18364,4.38,1326,0.32,7284,1.74,265,0.06,38272,9.13,349199,83.32,52.32,16394.0,4.32,81.62,5449.0
72,12117,Florida,Seminole,12.5,Best,5,28.717,-81.2363,0,4,462659,21.2,15.12,$63865.00,52185,11.28,2000,0.43,21590,4.67,611,0.13,98817,21.36,280193,60.56,51.66,13348.0,3.16,80.61,4569.0
73,12063,Florida,Jackson,55.25,Worst,6,30.7954,-85.2155,0,0,48330,18.81,19.08,$41524.00,12789,26.46,411,0.85,346,0.72,135,0.28,2322,4.8,31601,65.39,44.86,37490.0,75.36,75.1,936.0
74,12079,Florida,Madison,55.75,Worst,7,30.4441,-83.4701,0,0,18449,19.05,20.0,$37256.00,6937,37.6,135,0.73,86,0.47,5,0.03,1029,5.58,10054,54.5,46.96,15381.0,80.01,75.99,335.0
75,12047,Florida,Hamilton,56.625,Worst,8,30.4964,-82.9479,0,0,14184,19.61,17.66,$35262.00,4595,32.4,143,1.01,114,0.8,2,0.01,1368,9.64,7811,55.07,42.55,9395.0,63.48,75.4,263.0
76,12039,Florida,Gadsden,59.875,Worst,9,30.5795,-84.6136,0,0,46071,21.97,17.16,$38084.00,25472,55.29,253,0.55,322,0.7,64,0.14,4777,10.37,15000,32.56,52.43,30329.0,65.38,76.64,762.0
77,12107,Florida,Putnam,63.25,Worst,10,29.6087,-81.7443,0,0,73464,21.65,22.54,$34390.00,11573,15.75,505,0.69,490,0.67,102,0.14,7459,10.15,52488,71.45,50.57,41765.0,56.16,74.51,1540.0
78,13219,Georgia,Oconee,5.375,Best,1,33.835,-83.4371,0,0,38028,26.65,15.09,$92216.00,1890,4.97,100,0.26,1586,4.17,15,0.04,1893,4.98,32119,84.46,50.93,16508.0,50.32,81.22,321.0
79,13117,Georgia,Forsyth,6.875,Best,2,34.2255,-84.125,0,1,227967,27.87,11.65,$103083.00,7974,3.5,1156,0.51,30473,13.37,153,0.07,21951,9.63,163835,71.87,50.33,17414.0,9.92,81.51,1547.0
80,13113,Georgia,Fayette,12.125,Best,3,33.414,-84.4942,0,0,112549,23.37,17.63,$87831.00,25877,22.99,482,0.43,5769,5.13,129,0.11,8285,7.36,70237,62.41,51.37,19372.0,18.18,80.87,1071.0
81,13073,Georgia,Columbia,12.5,Best,4,33.5441,-82.264,0,0,151579,25.62,13.01,$75832.00,26008,17.16,602,0.4,6463,4.26,307,0.2,10113,6.67,104249,68.78,51.12,20131.0,16.23,80.34,1287.0
82,13067,Georgia,Cobb,12.875,Best,5,33.9415,-84.5767,0,2,755754,23.96,11.82,$75485.00,205908,27.25,3563,0.47,41313,5.47,512,0.07,98915,13.09,392410,51.92,51.66,1694.0,0.25,80.41,6408.0
83,13193,Georgia,Macon,141.25,Worst,6,32.3584,-84.0425,0,0,13314,19.27,16.89,$32974.00,7992,60.03,71,0.53,211,1.58,18,0.14,602,4.52,4385,32.94,45.56,7840.0,53.19,73.32,284.0
84,13061,Georgia,Clay,136.5,Worst,7,31.6263,-84.9801,0,0,2962,21.07,26.06,$29122.00,1793,60.53,11,0.37,13,0.44,1,0.03,47,1.59,1063,35.89,53.21,3183.0,100.0,75.43,65.0
85,13289,Georgia,Twiggs,134.25,Worst,8,32.6672,-83.4271,0,0,8174,19.31,21.97,$39639.00,3335,40.8,31,0.38,29,0.35,3,0.04,209,2.56,4466,54.64,50.84,9023.0,100.0,72.58,201.0
86,13163,Georgia,Jefferson,133.625,Worst,9,33.0549,-82.4182,0,0,15648,23.88,17.63,$35201.00,8201,52.41,36,0.23,109,0.7,13,0.08,609,3.89,6582,42.06,51.74,13657.0,80.67,73.29,343.0
87,13141,Georgia,Hancock,135.375,Worst,10,33.2704,-83.0007,0,0,8561,15.84,21.97,$31247.00,6072,70.93,44,0.51,99,1.16,2,0.02,200,2.34,2100,24.53,44.61,5807.0,61.59,75.41,189.0
88,15003,Hawaii,Honolulu,1.375,Best,1,21.5008,-158.1053,0,0,988650,21.22,17.23,$80947.00,25085,2.54,3185,0.32,425186,43.01,94505,9.56,97824,9.89,180449,18.25,49.61,8225.0,0.86,82.54,8989.0
89,15007,Hawaii,Kauai,2.25,Best,2,22.0396,-159.5963,0,0,72159,22.2,19.25,$74881.00,390,0.54,341,0.47,22684,31.44,6640,9.2,7961,11.03,21142,29.3,50.61,8628.0,12.86,81.99,755.0
90,15009,Hawaii,Maui,2.75,Worst,9,20.8596,-156.5648,0,0,166260,21.81,17.52,$76376.00,1105,0.66,927,0.56,48442,29.14,18077,10.87,18847,11.34,50233,30.21,50.18,22556.0,14.57,82.67,1632.0
91,15001,Hawaii,Hawaii,3.625,Worst,10,19.5987,-155.5185,0,0,200381,21.79,20.05,$56540.00,1309,0.65,1121,0.56,42960,21.44,26290,13.12,25492,12.72,60645,30.26,50.4,70313.0,37.99,80.14,2541.0
92,15001,Hawaii,Hawaii,3.625,Worst,10,19.5987,-155.5185,0,0,200381,21.79,20.05,$56540.00,1309,0.65,1121,0.56,42960,21.44,26290,13.12,25492,12.72,60645,30.26,50.4,70313.0,37.99,80.14,2541.0
93,16013,Idaho,Blaine,6.25,Best,1,43.4119,-113.9802,0,1,22024,22.78,18.72,$68101.00,61,0.28,386,1.75,247,1.12,37,0.17,4769,21.65,16668,75.68,48.89,7004.0,32.77,84.87,159.0
94,16057,Idaho,Latah,7.375,Best,2,46.8162,-116.7117,0,1,39333,19.0,12.96,$49445.00,383,0.97,338,0.86,1004,2.55,66,0.17,1702,4.33,34952,88.86,48.78,13032.0,34.99,82.1,282.0
95,16001,Idaho,Ada,7.75,Best,3,43.4511,-116.2412,0,6,456849,24.18,13.92,$61469.00,5698,1.25,3741,0.82,12581,2.75,1039,0.23,37569,8.22,386912,84.69,49.91,21471.0,5.47,80.71,3749.0
96,16081,Idaho,Teton,8.875,Best,4,43.7594,-111.2076,0,0,11381,25.63,11.21,$63168.00,22,0.19,99,0.87,66,0.58,19,0.17,1891,16.62,9255,81.32,47.66,10170.0,100.0,83.11,57.0
97,16085,Idaho,Valley,9.0,Best,5,44.7666,-115.5663,0,0,10687,18.27,24.24,$56532.00,30,0.28,127,1.19,63,0.59,7,0.07,503,4.71,9847,92.14,48.55,9862.0,100.0,81.01,119.0
98,16077,Idaho,Power,31.375,Worst,6,42.6937,-112.8407,0,0,7600,31.34,14.96,$45922.00,29,0.38,279,3.67,38,0.5,15,0.2,2619,34.46,4614,60.71,49.17,3329.0,42.59,77.82,89.0
99,16047,Idaho,Gooding,31.625,Worst,7,42.971,-114.8115,0,1,15124,27.74,17.01,$46218.00,48,0.32,314,2.08,117,0.77,40,0.26,4400,29.09,10232,67.65,48.82,8982.0,58.08,77.29,194.0
100,16045,Idaho,Gem,32.125,Worst,8,44.0616,-116.3975,0,0,17379,23.5,21.35,$47481.00,48,0.28,191,1.1,156,0.9,37,0.21,1469,8.45,15227,87.62,50.14,7527.0,45.02,77.69,243.0
